Building,City,Floors,Height,Year
"Twin Towers Guiyang, East Tower",Guiyang,74,"1,099 ft",2020
Brooklyn Tower,New York City,73,"1,099 ft",2022
Shengjing Finance Plaza T2,Shenyang,68,"1,097 ft",2020
Wenzhou Trade Center,Wenzhou,68,"1,094 ft",2010
LCT Residential Tower B,Busan,85,"1,093 ft",2019
Rose Rayhaan by Rotana,Dubai,72,"1,093 ft",2007
Shimao International Plaza,Shanghai,66,"1,093 ft",2006
Han Yu Finance Business Center A5-3,Jinan,69,"1,093 ft",2020
AMA Tower,Dubai,62,"1,093 ft",2021
Modern Media Center,Changzhou,57,"1,089 ft",2013
The Adress Fountain Views Tower 2,Dubai,77,"1,087 ft",2019
Minsheng Bank Building,Wuhan,68,"1,087 ft",2007
Zhuhai Tower,Zhuhai,67,"1,083 ft",2017
Guangxi Financial Investment Center,Nanning,70,"1,083 ft",2023
One Za'abeel Tower 1,Dubai,67,"1,083 ft",2022
Yuexiu Property Project Main Tower,Wuhan,66,"1,083 ft",2016
Wuhan Yangtze River Shipping Center,Wuhan,65,"1,083 ft",2022
China World Trade Center Tower III,Beijing,74,"1,083 ft",2010
Suning Plaza Tower A,Zhenjiang,77,"1,082 ft",2016
Han Kwok City Center,Shenzhen,80,"1,081 ft",2016
Three World Trade Center,New York City,71,"1,079 ft",2018
The Index,Dubai,80,"1,076 ft",2010
Longxi International Hotel,Jiangyin,74,"1,076 ft",2011
Al Yaqoub Tower,Dubai,69,"1,076 ft",2013
Wuxi Suning Plaza,Wuxi,68,"1,076 ft",2014
Golden Eagle Tiandi Tower B,Nanjing,68,"1,076 ft",2020
Binjiang IFC 1,Changsha,66,"1,076 ft",2021
Baoneng Center,Shenzhen,65,"1,074 ft",2018
Huaqiang Golden Corridor City Plaza Main Tower,Shenyang,66,"1,073 ft",2022
Nanjing World Trade Center Tower 1,Nanjing,68,"1,071 ft",2022
Salesforce Tower,San Francisco,61,"1,070 ft",2018
Main Tower in Toranomon-Azabudai Area A District Project,Tokyo,65,"1,067 ft",2023
The Landmark,Abu Dhabi,72,"1,063 ft",2013
Deji Plaza Phase II,Nanjing,62,"1,063 ft",2013
Shimao No.1 The Harbour Main Tower,Yantai,57,"1,060 ft",2016
Q1 Tower,Gold Coast City,80,"1,058 ft",2005
The Torch,Dubai,86,"1,055 ft",2011
Guangxi Finance Plaza,Nanning,68,"1,053 ft",2017
Burj Al Arab,Dubai,60,"1,053 ft",1999
53W53,New York City,77,"1,050 ft",2019
Shenzhen Bay Innovation and Technology Centre Tower 1,Shenzhen,71,"1,050 ft",2020
Huijin Center 1,Guangzhou,69,"1,050 ft",2022
Sinar Mas Center 1,Shanghai,65,"1,050 ft",2017
Chrysler Building,New York City,77,"1,046 ft",1930
Teddy Tower,Hong Kong,80,"1,046 ft",2007
Global City Square,Guangzhou,67,"1,046 ft",2016
New York Times Tower,New York City,52,"1,046 ft",2007
Yangzhou Jinao Center,Yangzhou,72,"1,043 ft",2022
Jiuzhou International Tower,Nanning,71,"1,043 ft",2017
Grand Hyatt Hotel Manila,Taguig,66,"1,043 ft",2016
Magnolias Waterfront Residences,Bangkok,70,"1,043 ft",2018
66 Hudson Boulevard,New York City,66,"1,041 ft",2022
HHHR Tower,Dubai,72,"1,040 ft",2010
Australia 108,Melbourne,100,"1,039 ft",2020
The Wharf IFS T1,Chongqing,64,"1,038 ft",2016
Youth Olympics Center Tower 1,Nanjing,68,"1,033 ft",2014
The Wharf IFS Tower 2,Changsha,63,"1,033 ft",2018
MahaNakhon,Bangkok,77,"1,031 ft",2016
Teda IFC 1,Tianjin,56,"1,027 ft",2022
Honglou Times Square,Lanzhou,56,"1,027 ft",2018
Bank of America Plaza,Atlanta,55,"1,023 ft",1992
Maoye Plaza 1,Shenyang,75,"1,020 ft",2014
Poly Pazhou C2,Guangzhou,65,"1,020 ft",2017
Abu Dhabi Plaza Residential Tower,Nur-Sultan,75,"1,020 ft",2022
Guangxi Wealth Financial Center,Nanning,70,"1,020 ft",2019
US Bank Tower,Los Angeles,73,"1,018 ft",1989
Menara Telekom,Kuala Lumpur,55,"1,017 ft",2001
Ocean Heights,Dubai,82,"1,017 ft",2010
Greenland Center 2,Hangzhou,67,"1,017 ft",2021
Greenland Center 1,Hangzhou,67,"1,017 ft",2021
CCCC Southern Financial Investment Building,Zhuhai,65,"1,017 ft",2021
Varso Tower,Warsaw,54,"1,017 ft",2022
Pearl River Tower,Guangzhou,71,"1,016 ft",2012
Guangzhou Fortune Center,Guangzhou,73,"1,015 ft",2015
Jumeirah Emirates Towers Hotel,Dubai,56,"1,014 ft",2000
Eurasia Tower,Moscow,67,"1,013 ft",2015
Burj Rafal,Riyadh,68,"1,010 ft",2014
Guangfa Securities Headquarters,Guangzhou,62,"1,010 ft",2018
35 Hudson Yards,New York City,72,"1,010 ft",2019
Amna Tower,Dubai,75,"1,007 ft",2020
Noora Tower,Dubai,75,"1,007 ft",2019
Wanda Plaza Main Tower 2,Kunming,67,"1,007 ft",2016
Wanda Plaza Main Tower 1,Kunming,67,"1,007 ft",2016
Franklin Center North Tower,Chicago,60,"1,007 ft",1989
One57,New York City,75,"1,005 ft",2014
Cayan Tower,Dubai,73,"1,005 ft",2013
East Pacific Center Tower A,Shenzhen,85,"1,004 ft",2013
The Shard,London,73,"1,004 ft",2013
The Address Downtown Dubai,Dubai,63,"1,004 ft",2008
