Word,Average Proportion (Comedy),Average Proportion (Thriller)
instinct,1.4895962696240602e-05,1.810446401715886e-05
took,0.0003456253280581429,0.00040394789062003496
jacquelin,0.0,4.844755403206625e-05
mace,1.390824452918797e-06,1.6313804692221942e-05
disappear,5.9694393916242115e-05,0.00012201830531542996
waltz,9.25514699199976e-06,7.445389549950211e-06
behind,0.00018372837539430055,0.00023004443082298568
bourbon,6.7151807946218044e-06,5.031632071955696e-06
favorit,0.00010561405700985414,6.053556998858438e-05
benni,2.1530535811728572e-05,2.7732265795316457e-06
manhattan,1.383865876861203e-05,2.2937286397642642e-05
nixon,2.5225423097786973e-06,1.2018568231953584e-05
lunch,0.00011318104570174486,8.025324405898458e-05
principl,9.635693139793233e-06,1.3145303085869197e-05
tradit,3.458660576390765e-05,1.8776389964422364e-05
counterfeit,7.350533270204511e-06,8.926392360469197e-06
sophi,1.5694421048754858e-05,1.1582154981226583e-05
third,0.00010746383649505857,8.277595212698735e-05
exist,7.530832109081034e-05,9.727917892436541e-05
wouldv,5.34579475097015e-05,5.474165490729705e-05
hero,7.392551567125877e-05,6.054635300348776e-05
theyr,0.0009726207645965917,0.0010613017615016826
anytim,1.8118317427248872e-05,2.9910423848646413e-05
christin,1.8926484565003758e-05,6.610173934137974e-06
vallei,1.8677059538100752e-05,1.8949454763885675e-05
chess,6.125292865565165e-07,1.773919000254703e-05
paid,0.00010893790168747591,8.662481743836288e-05
burglar,6.003632869207488e-06,1.1126473820396204e-05
nostril,2.025420229483609e-05,2.2734566871599156e-06
rubber,2.286086838377201e-05,1.8490221889213926e-05
human,0.00016686756371607232,0.000260273242999365
british,1.900263248316677e-05,2.1498531821547697e-05
plissken,0.0,2.9274347474794934e-05
eddi,0.00011794631756050712,6.975589265626032e-05
gee,9.91591421302496e-05,3.547657727437065e-05
offend,1.9388591190792482e-05,1.1953242913475949e-05
rebecca,5.302369210184211e-06,7.888444757483544e-06
anger,1.4764602109002257e-05,1.1695874948732068e-05
plant,4.071200762878522e-05,7.738772087205233e-05
famou,7.347284755954362e-05,3.101788576057595e-05
repres,4.4139985672207515e-05,3.024896070296053e-05
latest,1.3713079933438096e-05,1.3307320857406348e-05
rent,7.445463465215939e-05,5.101548211988442e-05
dip,1.7666976719585717e-05,8.43996878467637e-06
bell,4.004347367307143e-05,2.9351278801175093e-05
andi,0.00016084414167792104,3.276588654395148e-05
so,0.005037686383116059,0.003984058733539297
london,3.0314770363980277e-05,4.5320779279754854e-05
cooler,1.2998722747868547e-05,4.028015074603376e-06
keaton,3.7129861691263155e-06,2.8479455188022362e-05
portland,4.658579908530075e-06,7.80351670709578e-06
headlin,9.127945571028697e-06,4.665943193458247e-06
whatta,2.455496801802782e-05,6.263896032184176e-05
fatal,5.683096466338346e-06,1.5772752443569394e-05
sew,3.3998687660413537e-06,9.292094738094514e-06
cheer,4.562963267682166e-05,2.2557124315292846e-05
davi,2.1454670819566167e-05,2.2850128984773843e-05
feed,5.34642936609551e-05,7.21822887676886e-05
hudson,2.5594623322422556e-05,2.1113769860592406e-05
ambros,0.0,2.2390684595524473e-05
digest,1.5022779573760151e-05,8.221579509589873e-06
redi,0.0,1.56522866872827e-05
fri,2.5790752292308135e-05,1.8761149154467083e-05
staff,2.7525600963705813e-05,3.831650309855359e-05
casino,9.525061539984964e-06,1.642091467427173e-05
occasion,1.937656629519461e-05,9.768665494691562e-06
shadow,1.864479884535828e-05,3.0353050926181013e-05
work,0.0014381597460196068,0.0015849760000683547
restrain,1.6803237124181955e-05,4.744742323918565e-06
face,0.00031620063062797745,0.00030648213271894224
exercis,3.3273450789521927e-05,2.607571195620611e-05
sidnei,1.4530724415194738e-05,5.130502406191984e-05
pile,1.6379888609706566e-05,2.8127488077649792e-05
whyd,5.138048106121053e-05,5.870344262147088e-05
teenag,4.156378928339098e-05,2.0854238047761374e-05
her,0.002729716693237526,0.003224366163910157
retir,2.9304004846187087e-05,7.600626051806264e-05
hazard,4.175165442030826e-06,1.5611949354248944e-05
roth,0.0,1.4833883714315612e-05
hurrican,3.0913159385766917e-06,1.2751313610453164e-05
impuls,2.768254912591278e-05,2.7196572490377636e-05
ranger,1.675787187583684e-05,1.3020764785435867e-05
pour,2.6270726705985705e-05,3.618601991676454e-05
lester,2.913767176132857e-05,3.444415740979747e-06
slash,9.73918907639035e-06,9.176131358278902e-06
deer,1.4069378305122558e-05,2.4361413647806755e-05
could,0.0017896047699472886,0.002032586650690147
vital,9.254889975065413e-06,7.820331789090718e-06
qualiti,2.7253366352548122e-05,1.3294599904227426e-05
coma,1.8171118867212784e-05,1.832894179013755e-05
incred,9.186855440050014e-05,3.6671698633445984e-05
hank,3.597352867246842e-05,7.72300927977426e-06
famili,0.00032365164409474027,0.0003374078872167528
duchess,1.3574618176892482e-05,0.0
global,7.796368996103007e-06,1.422630722936793e-05
virgin,5.95215891504955e-05,3.2797990633104225e-05
scientif,1.3602469417933665e-05,2.0754900759605063e-05
between,0.00016942261763967288,0.00021858550423216075
holidai,3.9979902440535106e-05,2.621308062710905e-05
qualifi,1.490640657693772e-05,1.9905276624152323e-05
moor,2.2607936905616538e-06,1.5106320378110549e-05
happili,1.53937253158729e-05,1.2280776279587763e-05
arizona,1.4596165499641354e-05,4.980367031175106e-06
non,8.583339836118797e-06,1.172687312678945e-05
bruce,4.1793785751306764e-05,8.51823849896135e-05
ankl,1.0690126913067669e-05,1.540609985119156e-05
constant,1.4374235856589472e-05,8.440209048667932e-06
buzz,0.00016732582225151654,5.4171888609427e-05
harder,2.1875529079795457e-05,2.56962197961882e-05
ing,1.1024629021233082e-06,1.875899005280675e-05
christian,1.3385593040149623e-05,2.481959642938481e-05
palmer,1.4596771486082705e-06,1.791005513618945e-05
tent,8.450012114000126e-06,3.0120683457417725e-05
sunset,1.3822153558613891e-05,7.895197856912657e-06
damour,0.0,2.628171127389831e-05
cohaagen,0.0,1.8555010038260338e-05
advertis,2.034681619367067e-05,5.110114102111411e-06
sensat,1.6021244818231407e-05,8.304199360709282e-06
local,3.7873820279840866e-05,5.747009742910174e-05
there,0.00417218502464518,0.00521709290895792
terri,1.7889252125898258e-05,1.774132119852405e-05
sedat,0.0,2.9483385074608012e-05
rotten,2.6005656119722524e-05,9.15885462262616e-06
struck,1.8491898873693837e-05,1.7542202776502965e-05
deck,2.6497294312285714e-05,4.0193329474280594e-05
past,0.00013208704438863645,0.00014370700157920972
bro,2.0213247435678197e-05,1.5223878946773414e-05
ann,7.932302935337067e-05,1.7138103029065816e-05
dump,7.677033093748045e-05,6.960656803278862e-05
kane,8.453928227786467e-06,9.518622103792826e-06
slot,1.3210273248325563e-05,9.239419387299578e-06
immun,3.5580253797954884e-06,1.5597022413379773e-05
block,6.594640773637093e-05,7.30109971759186e-05
lil,1.0299241308117293e-05,9.139100621703798e-06
technic,2.5632022206098496e-05,3.208983558277384e-05
tactic,4.881052320113168e-06,2.0451310852678906e-05
pencil,9.611813156275794e-06,1.420021636268059e-05
outsid,0.00013567235607794722,0.0002424308312024825
laboratori,1.070400824681654e-05,1.3113377645482278e-05
easi,0.0002991297994023003,0.00026210898748962023
nephew,1.556089889770902e-05,8.37635902278061e-06
coffin,1.0772598870454888e-05,1.9275808037548525e-05
pretti,0.0005028892746685323,0.0004199599291290422
coward,2.2757848712314894e-05,1.7237361930658015e-05
verbal,1.0494302957073683e-05,1.2459761644759493e-05
permiss,1.8193724150203442e-05,3.302381728938185e-05
bartend,3.832477705954887e-06,1.7987197322479095e-05
wont,0.0006957527674233564,0.0009276587491971029
watch,0.000479472693472599,0.0005358770413564392
lindenmey,0.0,1.66263938460173e-05
cosmo,2.978145390584887e-05,7.503840090164557e-07
capabl,3.0292520940539225e-05,4.720988333860128e-05
flirt,2.091182720266705e-05,6.643202825351899e-06
huge,5.341361341426103e-05,2.757803448853689e-05
berkelei,8.102318311475939e-06,8.077506058305486e-06
max,5.313712405707878e-05,0.00012480336380180548
walter,0.00030312180502365353,5.574413898100507e-05
lime,1.0141350138225565e-06,2.5066578143398736e-05
rico,1.5061692693270677e-06,2.538392352536962e-05
marvin,2.147565220731128e-05,1.9802447422050633e-06
aboard,1.56482228311391e-05,4.922561169166076e-05
bacon,5.286250745928572e-06,2.234798848599494e-05
account,7.921704740829601e-05,9.252033176747466e-05
kirk,1.3099599203133835e-05,5.727269928931772e-05
quaid,0.0,3.3187130921394933e-05
stunt,1.7158984094832334e-05,8.760064937035213e-06
closet,1.4593404967159252e-05,3.469234304785148e-05
due,4.409701356282381e-05,6.440096408621266e-05
nuclear,3.159108334148496e-05,5.045146231334852e-05
blind,6.481611164925238e-05,6.687174452721731e-05
pussi,2.725678601865727e-05,5.0819834184721945e-05
howdi,1.5432472613823308e-05,1.2882631703531647e-05
snuff,2.4871971526563907e-06,1.2008493674237973e-05
eas,2.361805092192406e-05,1.4814525939716455e-05
now,0.0033506750109532197,0.003254173614278602
leak,1.1902986854030045e-05,2.7323525769455468e-05
underwear,2.3051981619150022e-05,1.3099431242460347e-05
westlei,4.4108509283589474e-05,0.0
mayb,0.0012796426599170317,0.0013972849792055814
theo,1.8564930845631577e-06,7.957646723366709e-05
limo,2.1303210169350374e-05,6.18845263634346e-06
cousin,7.641877712661127e-05,1.8154725399667935e-05
illeg,3.787739501042554e-05,2.4592757695054025e-05
silli,8.73765466294457e-05,4.6368705876560525e-05
against,0.00017045355598670195,0.00019833341681726077
done,0.0004731413002236888,0.0005729365172931768
district,1.0118679212263739e-05,2.7793825706325318e-05
invad,9.647487361542856e-06,1.4866957332718144e-05
ryan,4.623650633757594e-05,2.1016760683961604e-05
wait,0.0009995786575286443,0.0008551293598851376
grudg,7.544754073127068e-06,9.936234062695386e-06
charact,4.159592522983529e-05,3.93102603414785e-05
hick,6.668260621953383e-06,2.0775253961848513e-05
jami,0.0,5.6444521875748105e-05
lifetim,2.7451722536276153e-05,1.8346425096426152e-05
lecktor,0.0,1.945786840820464e-05
and,0.015527013357619423,0.013665542756108819
republican,9.84135732e-07,9.122445279508439e-06
life,0.0010227714841864804,0.0008870084457423207
hidden,1.8313814642633837e-05,4.226981298568059e-05
wire,5.6368190274024814e-05,8.280906169824158e-05
paranoia,2.4138137015389735e-06,9.66946427537173e-06
network,3.847194939239699e-05,3.0168026991655692e-05
messi,8.408462418197744e-06,1.0864264695918988e-05
uthatu,2.8697703961565415e-05,1.6871522282462868e-05
effort,2.7291609758951264e-05,1.7934737663002304e-05
carri,0.00014932744331986694,0.00018724453946994326
windham,2.547017951382481e-05,0.0
fun,0.00026044281605867777,0.00012584294761185317
psychologist,1.0473026495318046e-05,1.4403532452724475e-05
sean,3.912453013158647e-06,4.680970685556962e-05
scent,9.957352658556392e-07,1.481777959508439e-05
answer,0.00017995978097310876,0.00032703215638960883
mom,0.0004652577107696466,0.0003260434127007008
wake,0.00011878418305306375,0.00012065128344349175
sign,0.00019641650299006825,0.00021094247740060973
ho,3.6490312749203005e-05,8.143226402598312e-06
relat,6.514155735777864e-05,2.8485943443102127e-05
jame,0.00010638353523643987,9.522354106041158e-05
fat,0.00010763265006565788,6.12317738318618e-05
myself,0.0003779709005748421,0.00033932457225614916
disrupt,5.817357415018922e-06,8.337769484957806e-06
scan,1.1146117764827818e-05,3.393898335551055e-05
vagu,1.1139648638183427e-05,9.580977642702111e-06
basket,6.293498876909775e-06,8.735032093620254e-06
christma,9.981398426217505e-05,6.510671662722025e-05
estim,1.3784420510290225e-05,2.1815585526115187e-05
em,0.0003646967018167028,0.00047406638282479073
union,2.3845512471302258e-05,1.8549976995653587e-05
involv,7.797285610023907e-05,0.0001464513843980131
norman,1.348737573121178e-05,7.807264804505866e-05
suspici,2.0837068957190734e-05,2.229531990467004e-05
becom,0.00016831893672600973,0.00014450095306478355
shoe,0.00013227650894804437,5.7927805680335655e-05
librari,2.565348160081016e-05,3.304256593972109e-05
administr,1.2449604983273809e-05,1.7894938605224896e-05
ford,2.136992232862782e-05,1.0088403212390287e-05
complic,6.222635863243157e-05,2.8257549264401462e-05
stuck,9.441190282112004e-05,7.818760663698694e-05
justic,2.143812654019908e-05,5.044513836051268e-05
attack,0.00011220680084505138,0.00016798187762822827
releas,3.2321928138632334e-05,4.659081451000212e-05
econom,7.419683272445112e-06,8.183830250099156e-06
hesit,9.777458556780453e-06,1.0745991624579792e-05
autopsi,7.623235316308271e-07,2.467635304833249e-05
jurisdict,2.3170406756488724e-06,1.3246142227370887e-05
four,0.0003044630160109052,0.0003820612848947519
factor,1.5140611781455642e-05,1.820881998840084e-05
inquiri,0.0,1.4591856850762447e-05
lion,5.53602486367218e-06,4.7592866347053166e-05
meanwhil,1.618689579026175e-05,1.1211966432064575e-05
prison,6.446652732577352e-05,0.00013415275021115756
blair,3.5219203842353383e-06,2.120008629937384e-05
seri,4.7645743236163914e-05,2.5438250118191135e-05
groceri,1.4228734708794707e-05,1.1238031785675528e-05
surgeri,1.2145080830546615e-05,2.7135638299421097e-05
season,4.475297890034147e-05,2.9656379116155697e-05
christi,2.1507911892692232e-05,7.591538261035866e-06
clean,0.00014088603704438495,0.0001816272964939559
ow,0.00014443445850384533,0.00010901668461840885
wrestl,2.762022176254286e-05,1.4284974125144304e-05
en,7.046510452372787e-06,9.953362072767511e-06
moral,3.447182060429073e-05,2.451269490852152e-05
hungri,8.99180326623173e-05,8.009370288713923e-05
cole,5.322580445696616e-05,6.237130859841982e-05
surfer,3.8792562830909775e-06,1.063359620453038e-05
sixteen,4.743656200493483e-05,2.4123257629387763e-05
angl,1.4498667249189987e-05,2.734370302178017e-05
shame,3.858210310731877e-05,4.1882682521008464e-05
barrel,1.9488618368134584e-05,9.457147212921518e-06
major,0.00023348139503835038,0.00010232303418741287
ago,0.00031593762227846917,0.0004245058788345578
lott,2.1663212313604512e-05,0.0
airplan,1.1453039132844941e-05,1.673163450979746e-05
worth,0.00012592522614683006,0.00017220991513839702
train,0.00015203346924925036,0.00015734371452796582
easili,1.9620021642656222e-05,2.901852622744984e-05
feller,7.153910357608272e-06,1.3179034496779746e-05
valentin,1.4229632772324812e-05,2.6627218422267934e-05
harvei,3.0117353471165415e-06,1.9348886692072998e-05
wherev,2.4921553047408665e-05,3.8814429652524494e-05
francisco,1.570254658371654e-05,2.7407346735197893e-05
true,0.0004471301411677293,0.00023559651938548227
dramat,1.005570489279035e-05,1.5331664312749368e-05
boston,2.173455415940301e-05,1.848410605120464e-05
besid,0.00016591535500869604,0.00013035242417378185
inspector,1.3035616552266918e-05,3.562199992934261e-05
orlean,1.953873533131329e-06,1.3056469314972154e-05
opportun,5.181207391711654e-05,3.9655123544656526e-05
nearli,2.472317769966676e-05,3.450383849264281e-05
lindsei,0.0,2.688316925896076e-05
photograph,3.057526902499664e-05,5.585324505042912e-05
frame,2.8195438309994247e-05,3.103796172589133e-05
at,0.003552138357875932,0.003475961200487425
psychopath,6.004980479272932e-06,1.7550468433909304e-05
press,7.044087230424287e-05,9.115482502706837e-05
youyou,1.7772855305289327e-05,3.876561957097468e-06
havana,2.123154271219549e-06,8.814644587328262e-06
australia,8.795961599612782e-06,9.914307927279324e-06
plai,0.0007547217362877903,0.0004858328036307156
mayfield,0.0,1.2727571166872152e-05
chick,0.00012175544934607368,2.0895772824342206e-05
stewart,1.6644322097374436e-05,6.060589602924894e-06
seven,0.0001228981576393872,0.00013770261090428353
reflect,1.3411787770319403e-05,1.252580041838059e-05
outer,7.2834036701842114e-06,1.4747073605750634e-05
vega,6.452098314791655e-05,3.769334680603629e-05
anywai,0.0003511778649914218,0.00030859361965256414
prime,5.887511195633833e-06,2.1804896990506326e-05
farmer,2.2529635444476695e-05,8.869965877888186e-06
backyard,1.098129920011278e-05,5.7787303257556966e-06
joe,0.00014748288251722252,4.6164828310975745e-05
otherwis,5.430184116241594e-05,4.706606126905107e-05
cowgirl,4.187973342668872e-05,0.0
grate,3.0124200727293204e-05,2.4752500472605906e-05
clerk,1.9009716825252267e-05,3.0336921159293067e-06
dispos,1.625354079590075e-05,1.862026073380002e-05
tow,1.8131267421105262e-06,1.069895305558627e-05
mari,0.00021918475299055867,0.00010398254098051013
certifi,1.6362029998705265e-05,5.411399927226152e-06
thi,0.008484211537907765,0.008098506928528865
wheel,7.246959754528285e-05,3.7391758368258004e-05
privaci,1.2106939565633468e-05,6.544855674272152e-06
todai,0.0003686718370737674,0.00030015377103854605
nathan,5.556686442280376e-05,2.138765375799747e-05
teller,4.715465652590978e-06,1.0963971855162027e-05
plot,9.325132238725564e-06,2.8150582728633786e-05
correct,6.113971579225351e-05,6.590350619041369e-05
couch,1.652536593872782e-05,1.2867248792958651e-05
job,0.0005373405008364068,0.0005997407797042246
hurt,0.00031047713328584555,0.0004137554381962411
inject,6.940665235619548e-06,2.0935931643093247e-05
chocol,2.9509869694075943e-05,2.4475408587729956e-05
session,1.5362070821229323e-05,1.6568923234042196e-05
outrag,1.4808887523336092e-05,6.82082641467994e-06
reduc,4.678619111960151e-06,9.519616522592826e-06
knew,0.00037395186621564725,0.0005811574675139781
jd,1.8512695974687215e-05,5.53727934684557e-06
perfum,8.582039266036091e-06,1.7215351132018566e-05
fabric,1.0015804417563158e-05,5.86523467656939e-06
bodyguard,1.2765336687228425e-05,2.8520507339796816e-05
think,0.0043499747824872525,0.004191209846265392
il,0.0,9.036984177518585e-06
yesterdai,0.00010378698835040975,0.0001254103318928196
side,0.00019416112845313757,0.0002424663149124034
doesnt,0.0007533131120339158,0.0007948351243693313
ronni,2.5033015005069296e-05,2.742083153129536e-06
blank,2.6003858816148725e-05,2.217442515938019e-05
jess,3.490658916442857e-06,4.4343566389389876e-05
push,6.984488360331864e-05,0.0001007769563686743
ahh,3.4961172232137595e-05,1.050878109301519e-05
jealou,2.914907656864399e-05,3.6467200551225314e-05
alter,7.3002359469699245e-06,2.2756752069241116e-05
blew,5.024692920504586e-05,5.6981070997338415e-05
bu,9.329849835135312e-05,5.274490658500506e-05
off,0.0012294034321598324,0.0014352700458642035
sweetheart,6.425244183309307e-05,4.888498104711941e-05
abl,0.00017341315559135474,0.00018229088743796222
angelo,9.279504041430828e-06,1.552282093114599e-05
nicer,1.3639243300630046e-05,9.229367249308859e-06
coupla,1.6829330695709776e-05,1.7333071394560784e-05
resum,1.1106093607983459e-05,9.361870747196625e-06
coke,3.097495544129411e-05,3.4229718432284814e-05
strangl,1.2632398321037343e-05,1.14946412009418e-05
gut,4.6041797822036966e-05,3.6463632921397034e-05
morn,0.0003595647910298692,0.00042416978364866247
miracl,4.7698978855598326e-05,3.706853670101899e-05
bit,0.00022485179739014188,0.00022983811797920884
intimid,1.1680593261281953e-05,1.1555854538445781e-05
pipelin,0.0,1.8228498913859264e-05
sour,5.925776716342074e-06,9.092030037737553e-06
shep,1.0070910168257143e-05,1.3580176673259071e-05
vivian,4.2971776390042106e-05,0.0
grave,2.6986389850470674e-05,4.713706189719409e-05
chemic,9.2736498619788e-06,3.354153043069072e-05
czech,0.0,1.5429259988320255e-05
scholarship,1.2605974576544361e-05,1.016226917469367e-05
oldfashion,8.44840755238103e-06,8.410100761043653e-06
accent,2.210201135331955e-05,7.810167066031243e-06
spitz,0.0,6.663101907145992e-06
dirti,8.237448981247006e-05,6.013516080651579e-05
shot,0.00023907327711687794,0.0003601586120380418
lit,1.1985774054563921e-05,7.609906237464978e-06
cedar,2.0444787971484963e-05,1.9458233145383967e-06
pirat,5.135723705635564e-05,1.075636183446287e-05
weather,4.9554802653156004e-05,8.513716300120506e-05
stun,1.4282915780070677e-05,3.289498328522785e-06
learn,0.00023293821373690952,0.0002517091963143894
wick,1.6660504895345113e-05,9.889401717669198e-06
bring,0.00037792439318227897,0.00035923528396539076
slack,9.144495552077298e-06,1.6095922999039664e-05
brave,6.607302352773509e-05,2.3778505668847027e-05
shakespear,3.514477471989005e-05,1.6117222238149605e-06
monkei,6.226951564923003e-05,3.173654913382236e-05
presum,9.327275237318045e-06,1.4907179084706945e-05
vacat,5.17618395118218e-05,7.145881568969387e-05
faint,7.59715869330539e-06,1.610730117688776e-05
strap,1.7768854438310527e-05,1.6827094618361608e-05
stephen,0.0,2.57056066601519e-05
maggi,5.193162875277143e-05,1.8999872109077874e-06
indic,7.135879628478196e-06,5.316952660173248e-05
sundai,5.470072955810313e-05,3.24417468589654e-05
nois,4.7467100206918174e-05,8.102549955503585e-05
organ,5.214984808415333e-05,6.32493694262635e-05
terranc,4.694515745557218e-05,0.0
foundat,1.27046769072861e-05,9.354544461861181e-06
littl,0.0017936287593549648,0.001313150189980595
perman,1.826290987925024e-05,1.6976610022085236e-05
insid,0.00016546922798331534,0.00035431731944640936
stabl,1.2950159874984961e-05,1.0595672238822784e-05
sharp,2.2039548142172192e-05,2.7485165269629113e-05
uptight,8.848499750543734e-06,6.663260854481013e-06
wholl,9.266401432096095e-06,3.941829213164284e-05
jeffrei,6.66513251682609e-05,8.280368738898227e-05
root,2.108073207756993e-05,1.170711409421031e-05
thy,2.571671181511715e-05,7.149058325573418e-06
josi,5.373277638108647e-05,1.4766086728607594e-06
woman,0.0007999505402894917,0.0003505823129643283
post,5.7237892787830814e-05,4.572821090498273e-05
judg,7.334670459375636e-05,6.24479764005498e-05
ralph,2.541010142911429e-05,1.0020183545636288e-05
amaz,0.00011667636223268873,6.295995837483249e-05
surf,8.572431287265413e-06,1.3386630326174262e-05
naughti,1.0536013561178946e-05,5.77080559361731e-06
norm,1.2604876384619548e-05,1.080305318840464e-05
glove,1.7507789233976665e-05,1.6516692611433357e-05
cigar,2.920036132085622e-05,9.749766802837156e-06
wendi,7.520365422666091e-05,1.0341689418383121e-05
corpor,1.069411061803985e-05,4.027453346832298e-05
statement,2.119216659268084e-05,3.565611259076414e-05
defin,1.4326186388593231e-05,9.180195707307172e-06
drawn,9.721206722650376e-06,9.726171125086498e-06
progress,4.346173021066015e-05,2.682393432337806e-05
year.1,0.0011485156283066217,0.0011467088975926274
shovel,1.389170363459975e-05,1.4882452402858228e-05
sequenc,4.4865095048203005e-06,1.8168309827618564e-05
andand,1.4639845208603008e-05,1.993153896578059e-06
reel,7.611242208832331e-06,4.971506744827848e-06
held,4.440449728529508e-05,4.5887099788294106e-05
youv,0.0009857313960840337,0.0008546771535777835
trick,9.741296518460239e-05,8.663012777699499e-05
horseman,0.0,1.890117465241266e-05
whoa,9.097768255527576e-05,5.6734848837801266e-05
emploi,1.7691512589027282e-05,8.981712710843504e-06
chain,2.675913046162707e-05,4.136945533275991e-05
cmon,0.000140075996922406,0.00013915060660771013
brief,1.2435139463363911e-05,1.6068586664658228e-05
creativ,2.5331348114019404e-05,9.434002566625316e-06
moscow,1.9752718928764617e-05,8.919232922391753e-06
challeng,2.580550167053895e-05,2.351317485170464e-05
walli,2.6918144812161657e-05,1.2912396720715189e-05
golf,2.851672673700677e-05,1.5068321190252743e-05
abort,1.9372222683126316e-05,2.124241938060632e-05
aha,3.07906478675188e-05,5.237199851901688e-06
bent,5.291892847418797e-06,1.3071320968576372e-05
exclus,1.4909150607518797e-05,1.2838111117589452e-05
amber,4.0932295022620293e-05,6.471486629908439e-06
figur,0.000324400055972412,0.00035321445094782793
healthi,3.6647194192718516e-05,1.5506638393122803e-05
ransom,1.0048261571109024e-05,1.7715460228598733e-05
steer,1.0621960335077443e-05,1.105814006389282e-05
blow,0.00013157417936216,0.00018275442110265614
bark,1.705536517779306e-05,7.538507994625318e-06
imbecil,2.1281392758991584e-05,8.49659541421519e-07
mother,0.0005805305298783204,0.0004853043083482953
had,0.0016992394511680217,0.0018890825989319384
whatev,0.0002553340315352462,0.0002804599180970401
donit,0.0,1.948557353112532e-05
goodby,0.00019056137506661948,9.313987081483377e-05
terrifi,8.547121948030316e-06,1.2301177184840525e-05
cash,7.994391990487142e-05,0.00011422151447808436
descript,3.15409889859018e-06,1.980477734761055e-05
spell,5.414474707416354e-05,1.7746113742219005e-05
west,5.090971765270451e-05,8.213586112985885e-05
shoulda,2.2581455359019547e-05,3.576585333478334e-05
when,0.00247673833027734,0.0023906031967985022
wear,0.0002886188786548468,0.00018565184066948566
crop,1.0428163288305648e-05,8.933769977111391e-06
trapper,1.109115822948797e-05,4.7175864073122365e-06
donat,7.30672838200376e-06,6.096422681535461e-06
breath,0.00011945538089376714,0.00010698507435169999
bracelet,2.5757252229514287e-05,1.1497028018257384e-06
lover,4.832971462397481e-05,1.9567190963114785e-05
afraid,0.00026069778226615485,0.00035393963396227883
vice,3.450663357714494e-05,3.1562379388198734e-05
ms,4.617418235519398e-05,5.033141563283758e-05
didnt,0.001736443757994467,0.0019842853076940292
kill,0.0007358175023367787,0.001809132855183156
depth,5.282615967647754e-06,1.5573418026691985e-05
si,1.4702686348969925e-05,7.798172683747302e-06
experiment,5.369728255004366e-06,1.532957547872869e-05
dna,0.0,3.0068856382327425e-05
desmond,2.3807793957864663e-06,1.579215145376962e-05
coconut,2.6730019812357894e-05,4.333042874983544e-06
dil,0.0,4.116050676815949e-05
llewelyn,0.0,1.6261854892216034e-05
spoil,3.735797021107067e-05,1.8473480830240506e-05
lung,9.345223456345866e-06,2.204190332453715e-05
attent,9.622452809886254e-05,7.85588091847103e-05
offens,4.851916443297139e-05,2.9613415512257803e-05
babi,0.0005224801791314339,0.0002895122921778334
havin,3.1117370666127824e-06,1.1919419094725765e-05
mustnt,2.0169534476969562e-05,6.983033340345992e-06
creepi,6.749069776394488e-06,7.318924838419832e-06
